epoch,batch_loss
1,10.180586814880371
1,10.147476196289062
1,10.081360816955566
1,9.889466285705566
1,9.232211112976074
1,8.338248252868652
1,7.701625823974609
1,7.336958408355713
1,7.189213275909424
1,7.059276103973389
1,6.9753828048706055
1,6.981518268585205
1,7.043522834777832
1,7.092904567718506
1,7.130683898925781
1,7.012914180755615
1,7.090087413787842
1,7.198736190795898
1,7.096539497375488
1,7.041261672973633
1,7.144133567810059
1,6.85753059387207
1,7.06024169921875
1,7.122553825378418
1,7.0441813468933105
1,7.026094436645508
1,7.0227885246276855
1,7.032658100128174
1,7.091789722442627
1,7.039387226104736
1,7.011275291442871
1,7.014501571655273
1,6.945099353790283
1,6.915365219116211
1,7.000389575958252
1,7.008941650390625
1,6.910791397094727
1,6.9517059326171875
1,6.914435863494873
1,6.837655544281006
1,6.964008331298828
1,6.815293788909912
1,6.921534538269043
1,6.837733268737793
1,6.820078372955322
1,6.868134021759033
1,6.922384738922119
1,6.805872440338135
1,6.856504917144775
1,6.893820285797119
1,6.944111347198486
1,6.86311674118042
1,6.885198593139648
1,6.851264476776123
1,6.869998455047607
1,6.7507853507995605
1,6.854388236999512
1,6.858856678009033
1,6.808105945587158
1,6.822519779205322
1,6.8470458984375
1,6.879264831542969
1,6.8681111335754395
1,6.798207759857178
1,6.715880393981934
1,6.936911582946777
1,6.840431213378906
1,6.864753246307373
1,6.8175835609436035
1,6.886213302612305
1,6.790579319000244
1,6.8373799324035645
1,6.814082622528076
1,6.8089118003845215
1,6.761523246765137
1,6.796774387359619
1,6.766637802124023
1,6.832833290100098
1,6.768218994140625
1,6.732245445251465
1,6.762719631195068
1,6.805474281311035
1,6.871463775634766
1,6.745689868927002
1,6.802180290222168
1,6.792232990264893
1,6.773068904876709
1,6.815156936645508
1,6.787370204925537
1,6.765049934387207
1,6.7654128074646
1,6.819447994232178
1,6.802493572235107
1,6.783224582672119
1,6.7333664894104
1,6.8215789794921875
1,6.729671478271484
1,6.811850547790527
1,6.759973049163818
1,6.714521408081055
1,6.75736665725708
1,6.786605358123779
1,6.715367794036865
1,6.813687801361084
1,6.789967060089111
1,6.773082256317139
1,6.769256591796875
1,6.778985023498535
1,6.759085178375244
1,6.915142059326172
1,6.659798622131348
1,6.773342609405518
1,6.757758617401123
1,6.782773494720459
1,6.686183452606201
1,6.71297550201416
1,6.800607681274414
1,6.670303821563721
1,6.77126407623291
1,6.692837715148926
1,6.7738728523254395
1,6.778435707092285
1,6.763531684875488
1,6.87770414352417
1,6.7533698081970215
1,6.705973148345947
1,6.833730697631836
1,6.78281307220459
1,6.798767566680908
1,6.825175762176514
1,6.739744186401367
1,6.743252754211426
1,6.690902233123779
1,6.808740139007568
1,6.733526706695557
1,6.6804280281066895
1,6.845200061798096
1,6.700240612030029
1,6.751459121704102
1,6.7740092277526855
1,6.731200695037842
1,6.792606353759766
1,6.707338333129883
1,6.649916172027588
1,6.651541233062744
1,6.734770774841309
1,6.716626167297363
1,6.777702331542969
1,6.697147369384766
1,6.942314624786377
1,6.702911853790283
1,6.706767559051514
1,6.757713317871094
1,6.826439380645752
1,6.753564834594727
1,6.6385931968688965
1,6.70717716217041
1,6.766267776489258
1,6.772951602935791
1,6.680751800537109
1,6.703467845916748
1,6.662656784057617
1,6.623342990875244
1,6.695828914642334
1,6.72110652923584
1,6.698946475982666
1,6.717677593231201
1,6.650618553161621
1,6.709084510803223
1,6.770694255828857
1,6.669829368591309
1,6.640206336975098
1,6.713085651397705
1,6.704792499542236
1,6.660867214202881
1,6.644721031188965
1,6.689533710479736
1,6.669250965118408
1,6.684180736541748
1,6.713518142700195
1,6.741955280303955
1,6.701114654541016
1,6.730397701263428
1,6.598968029022217
1,6.582026481628418
1,6.6433329582214355
1,6.705020427703857
1,6.6534295082092285
1,6.573164463043213
1,6.6563334465026855
1,6.678456783294678
1,6.647136688232422
1,6.723512649536133
1,6.618612289428711
1,6.644026756286621
1,6.718291759490967
1,6.613988399505615
1,6.6071248054504395
1,6.593552112579346
1,6.643046855926514
1,6.632260799407959
1,6.660913467407227
1,6.693485736846924
1,6.620932102203369
1,6.597494125366211
1,6.718665599822998
1,6.634149074554443
1,6.698358058929443
1,6.623228549957275
1,6.659996032714844
1,6.654067516326904
1,6.563074588775635
1,6.698727130889893
1,6.679985523223877
1,6.607706069946289
1,6.6623663902282715
1,6.648367404937744
1,6.56631326675415
1,6.516280174255371
1,6.663975715637207
1,6.623964309692383
1,6.646285533905029
1,6.648313522338867
1,6.70144510269165
1,6.661172389984131
1,6.632734298706055
1,6.541035175323486
1,6.575097560882568
1,6.705146789550781
1,6.631643772125244
1,6.614139080047607
1,6.533539772033691
1,6.590843200683594
1,6.759697914123535
1,6.706814289093018
1,6.543679237365723
1,6.658671855926514
1,6.567756652832031
1,6.551153659820557
1,6.597515106201172
1,6.657582759857178
1,6.55883264541626
1,6.601353645324707
1,6.651340007781982
1,6.654913902282715
1,6.630293846130371
