epoch,avg_train_loss
1,6.748208258741645
2,6.167644798114735
3,5.468642484757208
4,4.8343479069330355
5,4.354768946606626
6,3.9823176489081433
7,3.682350784219721
8,3.4349172628054054
9,3.228108071511792
10,3.059795441166047
11,2.9134166465010694
12,2.7912095971004938
13,2.6811530602875577
14,2.5850153398770157
15,2.499258965574285
16,2.420302544229774
17,2.3516359008768553
